Sample	Missing Values (%)
36-CT180742-A01-D05	0.00316070994407975
184-CT180920-B01-H11	0.00218818380743982
182-CT180680-B01-F11	0.00656455142231947
181-CT180337-B01-E11	0.0141016289812789
73-CT182941-A01-A10	0.00899586676391928
72-CT182930-A01-H09	0.00948212983223924
70-CT182418-A01-F09	0.0265013372234379
69-CT180330-A01-E09	0.00850960369559932
66-CT183214-A01-B09	0.00656455142231947
65-CT183177-A01-A09	0.00583515681983953
64-CT183072-A01-H08	0.00778020909311938
63-CT183027-A01-G08	0.0289326525650377
96-CAN_93-H12	0.0386579139314369
83-CAN_61-G11	0.0442499392171165
82-CAN_60-G10	0.0335521517140773
80-CAN_58-G08	0.0493557014344761
91-CAN_78-H07	0.0425480184779966
78-CAN_56-G06	0.0204230488694384
90-CAN_77b-H06	0.0199367858011184
77-CAN_55-G05	0.0790177486019937
84-CAN_72-G12	0.0974957451981522
61-CT182625-A01-E08	0.024556284950158
88-CAN_76-H04	0.0313639679066375
86-CAN_74-H02	0.037199124726477
73-CAN_51-G01	0.112569900316071
40-CT181131-A01-H05	0.011913445173839
95-CAN_89-H11	0.0469243860928762
50-CT181899-A01-B07	0.0199367858011184
43-CT181277-A01-C06	0.00826647216143934
71-CT182695-A01-G09	0.00923899829807926
56-CT182244-A01-H07	0.0075370775589594
68-CT180198-A01-D09	0.025285679552638
72-CAN_50-F12	0.0423048869438366
89-CAN_77a-H05	0.118161925601751
79-CAN_57-G07	0.0654023826890348
59-CT182523-A01-C08	0.0143447605154389
93-CAN_80-H09	0.171164600048626
46-CT181390-A01-F06	0.00583515681983953
75-CAN_53-G03	0.0155604181862388
37-CT180755-A01-E05	0.0150741551179188
185-CT182548-B01-A12	0.00972526136639922
25-CT180420-A01-A04	0.00364697301239971
57-CT182336-A01-A08	0.00972526136639922
87-CAN_75-H03	0.0206661804035983
92-CAN_79-H08	0.0697787503039144
94-CAN_81-H10	0.0418186238755167
41-CT181153-A01-A06	0.00534889375151957
26-CT180431-A01-B04	0.00729394602479942
76-CAN_54-G04	0.0167760758570387
187-CT182545-B01-C12	0.00170192073911986
186-CT182537-B01-B12	0.00972526136639922
188-CT182510-B01-D12	0.0218818380743982
44-CT181379-A01-D06	0.00923899829807926
190-CT180928-B01-F12	0.024799416484318
62-CT183022-A01-F08	0.0260150741551179
47-CT181405-A01-G06	0.00389010454655969
39-CT181101-A01-G05	0.0165329443228787
27-CT180443-A01-C04	0.00948212983223924
183-CT180059-B01-G11	0.0199367858011184
28-CT180473-A01-D04	0.012399708242159
49-CT181590-A01-A07	0.0102115244347192
29-CT180477-A01-E04	0.00461949914903963
55-CT182138-A01-G07	0.00559202528567955
67-CT180084-A01-C09	0.0391441769997569
31-CT180580-A01-G04	0.0102115244347192
32-CT180675-A01-H04	0.00607828835399951
34-CT180725-A01-B05	0.0209093119377583
35-CT180733-A01-C05	0.00559202528567955
60-CT182564-A01-D08	0.0087527352297593
33-CT180717-A01-A05	0.0192073911986385
38-CT181095-A01-F05	0.00389010454655969
42-CT181197-A01-B06	0.00316070994407975
30-CT180479-A01-F04	0.0179917335278386
45-CT181384-A01-E06	0.0116703136396791
48-CT181457-A01-H06	0.0075370775589594
76-CT182266-A01-D10	0.0109409190371991
85-CAN_73-H01	0.0184779965961585
51-CT181907-A01-C07	0.0226112326768782
53-CT182006-A01-E07	0.0211524434719183
52-CT181983-A01-D07	0.0148310235837588
54-CT182121-A01-F07	0.0148310235837588
189-CT182642-B01-E12	0.0172623389253586
58-CT182347-A01-B08	0.0272307318259178
